"Datum","Rohr","Blickrichtung","Tiefe","Bonitur","TK","PaNr","BLOCK","FRUFOL","KULTUR1","KULTUR2","BOBE","Nduengung","Termin2","Date","Jahr","Monat","Termin","YearBlock","MainPlot","doy"
34815,"a","right",75,0.5,75,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",80,0.5,90,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",85,2,90,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",90,0,90,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",95,1,105,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",100,1,105,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",105,0,105,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",110,0,120,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",115,0,120,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",120,0,120,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",5,0.5,15,60,3,"Agrar","WWeizen","Senf","Pflug","norm",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Agrar",116
34815,"a","left",10,0,15,60,3,"Agrar","WWeizen","Senf","Pflug","norm",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Agrar",116
