Datum;PaNr;Tiefe;Raster;Schnittpunkte;WLD;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;Nduengung;Vord
34870;16;45;2.5;260;0.677;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
34870;16;60;2.5;330;0.86;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
34870;16;75;2.5;247;0.643;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
34870;16;105;1;203;0.212;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
34870;16;120;1;147;0.153;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
34870;20;15;9;430;4.033;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;30;5;225;1.172;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;45;2.5;192;0.5;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;60;1;120;0.125;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;75;1;149;0.155;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;90;1;207;0.216;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;105;1;214;0.223;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;120;1;155;0.162;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;20;15;7.5;296;2.313;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;30;7.5;289;2.259;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;45;2.5;172;0.448;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;60;5;203;1.058;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;75;1;173;0.18;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;90;1;285;0.297;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;105;1;117;0.122;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;20;120;1;153;0.159;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
34870;23;15;2.5;372;0.969;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;30;7;241;1.758;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;45;2.5;137;0.357;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;60;1;196;0.204;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;75;1;194;0.202;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;90;2.5;102;0.266;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;105;1;187;0.195;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;120;1;105;0.109;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
34870;23;15;7.5;265;2.071;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;30;9;314;2.945;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;45;1;117;0.122;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;60;1;143;0.149;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;75;1;223;0.232;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;90;2.5;139;0.362;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;105;1;120;0.125;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;23;120;1;197;0.205;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
34870;28;15;9;267;2.504;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;28;30;5;201;1.047;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;28;45;1;366;0.381;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
34870;28;60;1;107;0.112;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
