PaNr;Rohr;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;Nduengung
11;1;2;115;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;120;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;5;2;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;10;1;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;15;2.5;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;20;1;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;25;2;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;30;1;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;35;3;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;40;1;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;45;2;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;50;3;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;55;0.5;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;60;1;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;65;1.5;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;70;1;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;75;1;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;80;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;85;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;90;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;95;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;100;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;105;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;110;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;115;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;120;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;5;0;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;10;2;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;15;1;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;20;1.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;25;2.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;30;1.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;35;1;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;40;0.5;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;45;1;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;50;1;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;55;0;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;60;0.5;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;65;0;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;70;1;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;75;1;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;80;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;85;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;90;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;95;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;100;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;105;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;110;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;115;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;120;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
16;1;1;5;2.5;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;10;0;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;15;0.5;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;20;1.5;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;25;2.8;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;30;5;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;35;5;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;40;5;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;45;2.5;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;50;2;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;55;0;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;60;1;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;65;0;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;70;0;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;75;1;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;80;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;85;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;90;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;95;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;100;1;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;105;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;110;1;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;115;1;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;120;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;5;3;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;10;4;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;15;5;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;20;2.5;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;25;3;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;30;5;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;35;4;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;40;4;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;45;2.5;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;50;1.5;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;55;0;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;60;1;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;65;0;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;70;0.5;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;75;1.5;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;80;1;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;85;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;90;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;95;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;100;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;105;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;110;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;115;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;120;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;5;0.5;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;10;0;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;15;0;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;20;0;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;25;0.5;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;30;0;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;35;0;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;40;0;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;45;0;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;50;1;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;55;0;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;60;0;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;65;1.5;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;70;0;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;75;1;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;80;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;85;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;90;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;95;0.5;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;100;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;105;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;110;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;115;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;120;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;5;1;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;10;0;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;15;0;34834;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;20;0;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;25;0;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;30;0;34834;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;35;0.5;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;40;0;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;45;0;34834;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;50;0.5;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;55;1;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;60;0;34834;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;65;0.5;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;70;0;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;75;0.5;34834;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;80;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;85;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;90;0;34834;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;95;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;100;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;105;0;34834;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;110;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;115;0;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;120;0.5;34834;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
20;1;1;5;1;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;10;0.5;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;15;1;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;20;0.5;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;25;0.5;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;30;25;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;35;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;40;0.5;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;45;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;50;0;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;55;1;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;60;0;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;65;0;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;70;0;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;75;0;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;80;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;85;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;90;4;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;95;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;100;1;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;105;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;110;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;115;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;120;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;5;0;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;10;0;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;15;0.5;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;20;4;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;25;1;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;30;2;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;35;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;40;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;45;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;50;1;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;55;;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;60;0;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;65;;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;70;0;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;75;0;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;80;1;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;85;0.5;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;90;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;95;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;100;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;105;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;110;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;115;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;120;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;5;0;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;10;1;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;15;0;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;20;0;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;25;1.5;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;30;3;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;35;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;40;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;45;1;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;50;0;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;55;1.5;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;60;0;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;65;2;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;70;2;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;75;1;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;80;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;85;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;90;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;95;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;100;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;105;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;110;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;115;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;120;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;5;0;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;10;1;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;15;3;34834;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;20;1;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;25;2;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;30;2;34834;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;35;0;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;40;1;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;45;2;34834;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;50;1.5;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;55;3.5;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;60;2;34834;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;65;1;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;70;1;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;75;1;34834;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;80;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;85;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;90;0;34834;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;95;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;100;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;105;0;34834;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;110;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;115;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;120;0;34834;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
23;1;1;5;2;34834;15;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;10;0.5;34834;15;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;15;0.5;34834;15;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;15;0.5;34834;30;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;20;1;34834;30;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;25;1.5;34834;30;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;30;1.5;34834;45;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;35;4;34834;45;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;40;4.5;34834;45;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;50;0;34834;60;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;55;0;34834;60;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;60;0;34834;60;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;65;0;34834;75;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;70;1;34834;75;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;75;1;34834;75;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;80;1;34834;90;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;85;0;34834;90;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;90;0;34834;90;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;95;1;34834;105;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
23;1;1;100;0;34834;105;23;1;Agrar;WWeizen;Senf;Pflug;N reduziert
