"","Datum","PaNr","Tiefe","WLD","BLOCK","FRUFOL","Nduengung","Vord","TK","KULTUR1","Date","Jahr","Monat","Tiefe2","lnWLD","YearBlock","MainPlot"
"78",34870,28,105,0.098,"2","Agrar","normal","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.32278780031156,"1995_2","1995_2_Agrar"
"79",34870,28,120,0.027,"2","Agrar","normal","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-3.61191841297781,"1995_2","1995_2_Agrar"
"80",34870,29,15,0.748,"2","Gemüse","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,-0.29035230100766,"1995_2","1995_2_Gemüse"
"81",34870,29,30,1.79,"2","Gemüse","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.582215619852664,"1995_2","1995_2_Gemüse"
"82",34870,29,45,1.167,"2","Gemüse","ohne N","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,0.154436353304419,"1995_2","1995_2_Gemüse"
"83",34870,29,60,0.396,"2","Gemüse","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.926341067727656,"1995_2","1995_2_Gemüse"
"84",34870,29,75,0.176,"2","Gemüse","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.73727128394399,"1995_2","1995_2_Gemüse"
"85",34870,29,90,0.226,"2","Gemüse","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.48722027970985,"1995_2","1995_2_Gemüse"
"86",34870,29,105,0.11,"2","Gemüse","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.20727491318972,"1995_2","1995_2_Gemüse"
"87",34870,29,120,0.155,"2","Gemüse","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.86433016206289,"1995_2","1995_2_Gemüse"
"88",34870,29,15,3.47,"2","Gemüse","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.24415459395877,"1995_2","1995_2_Gemüse"
"89",34870,29,30,0.722,"2","Gemüse","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,-0.325730140089311,"1995_2","1995_2_Gemüse"
"90",34870,29,45,0.599,"2","Gemüse","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.512493680866688,"1995_2","1995_2_Gemüse"
"91",34870,29,60,0.487,"2","Gemüse","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.719491155899547,"1995_2","1995_2_Gemüse"
"92",34870,29,75,0.144,"2","Gemüse","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.93794197940614,"1995_2","1995_2_Gemüse"
"93",34870,29,90,0.123,"2","Gemüse","reduziert","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.09557092360972,"1995_2","1995_2_Gemüse"
"94",34870,29,105,0.128,"2","Gemüse","reduziert","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.05572501506252,"1995_2","1995_2_Gemüse"
"95",34870,29,120,0.101,"2","Gemüse","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-2.29263476214088,"1995_2","1995_2_Gemüse"
"96",34870,33,15,NA,"2","Gemüse","ohne N",NA,"15","WWeizen",1995-06-20,"1995","Jun",7.5,NA,"1995_2","1995_2_Gemüse"
"97",34870,33,30,NA,"2","Gemüse","ohne N",NA,"30","WWeizen",1995-06-20,"1995","Jun",22.5,NA,"1995_2","1995_2_Gemüse"
"98",34870,33,45,2.767,"2","Gemüse","ohne N","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,1.01776370080479,"1995_2","1995_2_Gemüse"
"99",34870,33,60,0.844,"2","Gemüse","ohne N","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.16960278438618,"1995_2","1995_2_Gemüse"
"100",34870,33,75,0.774,"2","Gemüse","ohne N","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.25618340539241,"1995_2","1995_2_Gemüse"
"101",34870,33,90,0.223,"2","Gemüse","ohne N","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.50058350752202,"1995_2","1995_2_Gemüse"
"102",34870,33,105,0.346,"2","Gemüse","ohne N","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.06131650392441,"1995_2","1995_2_Gemüse"
"103",34870,33,120,0.974,"2","Gemüse","ohne N","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-0.026343975339602,"1995_2","1995_2_Gemüse"
"104",34870,33,15,2.729,"2","Gemüse","normal","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.0039352417262,"1995_2","1995_2_Gemüse"
"105",34870,33,30,1.527,"2","Gemüse","normal","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.423305026236495,"1995_2","1995_2_Gemüse"
"106",34870,33,45,0.537,"2","Gemüse","normal","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.621757184473272,"1995_2","1995_2_Gemüse"
"107",34870,33,60,0.213,"2","Gemüse","normal","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-1.54646311327271,"1995_2","1995_2_Gemüse"
"108",34870,33,75,1.391,"2","Gemüse","normal","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,0.330022912941306,"1995_2","1995_2_Gemüse"
"109",34870,33,90,0.17,"2","Gemüse","normal","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.77195684193188,"1995_2","1995_2_Gemüse"
"110",34870,33,105,0.049,"2","Gemüse","normal","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-3.01593498087151,"1995_2","1995_2_Gemüse"
"111",34870,33,120,0.039,"2","Gemüse","normal","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-3.24419363285249,"1995_2","1995_2_Gemüse"
"112",34870,34,15,3.489,"2","Agrar","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.24961516220464,"1995_2","1995_2_Agrar"
"113",34870,34,30,NA,"2","Agrar","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,NA,"1995_2","1995_2_Agrar"
"114",34870,34,60,0.056,"2","Agrar","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.88240358824699,"1995_2","1995_2_Agrar"
"115",34870,34,75,0.438,"2","Agrar","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.825536368605691,"1995_2","1995_2_Agrar"
"116",34870,34,90,0.08,"2","Agrar","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.52572864430826,"1995_2","1995_2_Agrar"
"117",34870,34,105,0.274,"2","Agrar","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.29462717259407,"1995_2","1995_2_Agrar"
"118",34870,34,120,0.168,"2","Agrar","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.78379129957888,"1995_2","1995_2_Agrar"
"119",34870,34,15,0.774,"2","Agrar","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,-0.25618340539241,"1995_2","1995_2_Agrar"
"120",34870,34,30,0.305,"2","Agrar","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,-1.18744350237473,"1995_2","1995_2_Agrar"
"121",34870,34,45,0.35,"2","Agrar","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.04982212449868,"1995_2","1995_2_Agrar"
"122",34870,34,60,0.134,"2","Agrar","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.00991547903123,"1995_2","1995_2_Agrar"
"123",34870,34,75,0.189,"2","Agrar","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.66600826392249,"1995_2","1995_2_Agrar"
"124",34870,34,90,0.115,"2","Agrar","reduziert","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.16282315061889,"1995_2","1995_2_Agrar"
"125",34870,34,120,0,"2","Agrar","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-Inf,"1995_2","1995_2_Agrar"
"126",34870,55,15,NA,"3","Agrar","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,NA,"1995_3","1995_3_Agrar"
"127",34870,55,30,0.358,"3","Agrar","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,-1.02722229258144,"1995_3","1995_3_Agrar"
"128",34870,55,45,0.243,"3","Agrar","ohne N","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.41469383564159,"1995_3","1995_3_Agrar"
"129",34870,55,60,0.084,"3","Agrar","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.47693848013882,"1995_3","1995_3_Agrar"
"130",34870,55,75,0.143,"3","Agrar","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.94491064872223,"1995_3","1995_3_Agrar"
"131",34870,55,90,0.122,"3","Agrar","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.10373423424888,"1995_3","1995_3_Agrar"
"132",34870,55,105,0.142,"3","Agrar","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.95192822138088,"1995_3","1995_3_Agrar"
"133",34870,55,120,0.055,"3","Agrar","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-2.90042209374967,"1995_3","1995_3_Agrar"
"134",34870,55,15,2.149,"3","Agrar","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.765002617660373,"1995_3","1995_3_Agrar"
"135",34870,55,30,0.272,"3","Agrar","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,-1.30195321268614,"1995_3","1995_3_Agrar"
"136",34870,55,45,0.099,"3","Agrar","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-2.31263542884755,"1995_3","1995_3_Agrar"
"137",34870,55,60,0.234,"3","Agrar","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-1.45243416362444,"1995_3","1995_3_Agrar"
"138",34870,55,75,0.109,"3","Agrar","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-2.21640739675299,"1995_3","1995_3_Agrar"
"139",34870,55,90,0.078,"3","Agrar","reduziert","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.55104645229255,"1995_3","1995_3_Agrar"
"140",34870,55,105,0.121,"3","Agrar","reduziert","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.1119647333854,"1995_3","1995_3_Agrar"
"141",34870,55,120,0.09,"3","Agrar","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-2.40794560865187,"1995_3","1995_3_Agrar"
"142",34870,60,15,0.295,"3","Agrar","ohne N","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,-1.22077992264232,"1995_3","1995_3_Agrar"
"143",34870,60,30,0.204,"3","Agrar","ohne N","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,-1.58963528513792,"1995_3","1995_3_Agrar"
"144",34870,60,45,0.719,"3","Agrar","ohne N","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.32989392126109,"1995_3","1995_3_Agrar"
"145",34870,60,60,NA,"3","Agrar","ohne N","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,NA,"1995_3","1995_3_Agrar"
"146",34870,60,75,0.185,"3","Agrar","ohne N","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.68739945390381,"1995_3","1995_3_Agrar"
"147",34870,60,90,0.097,"3","Agrar","ohne N","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.33304430047875,"1995_3","1995_3_Agrar"
"148",34870,60,105,0.095,"3","Agrar","ohne N","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.3538783873816,"1995_3","1995_3_Agrar"
"149",34870,60,120,0.049,"3","Agrar","ohne N","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-3.01593498087151,"1995_3","1995_3_Agrar"
"150",34870,60,15,0.722,"3","Agrar","normal","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,-0.325730140089311,"1995_3","1995_3_Agrar"
"151",34870,60,30,0.633,"3","Agrar","normal","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,-0.457284856837961,"1995_3","1995_3_Agrar"
"152",34870,60,45,0.156,"3","Agrar","normal","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.8578992717326,"1995_3","1995_3_Agrar"
"153",34870,60,60,0.067,"3","Agrar","normal","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.70306265959117,"1995_3","1995_3_Agrar"
"154",34870,60,75,0.168,"3","Agrar","normal","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.78379129957888,"1995_3","1995_3_Agrar"
"155",34870,60,90,0.051,"3","Agrar","normal","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.97592964625781,"1995_3","1995_3_Agrar"
